Item Name,Qty,"Price (unit, USD)",Link
Mini Sparkle Motion,1,$18.95,https://www.adafruit.com/product/6160
NeoPixel 5050 10pc,5,$4.50,https://www.adafruit.com/product/1655
Magnetic Connector Straight Angle,2,$6.95,https://www.adafruit.com/product/5413
25ft 26AWG Siicone Cover White Wire,1,$4.95,https://www.adafruit.com/product/2518
MiniBoost 5V,1,$3.95,https://www.adafruit.com/product/4654
LithiumIon Polymer Battery 3.7V 500mAh,1,$7.95,https://www.adafruit.com/product/1578
JST PH 2-Pin Cable Male Header,1,$0.75,https://www.adafruit.com/product/3814
Star PCB,2,,
3D Printed Bow Casing,1,,
3D Printed Star Casing,2,,
total,,$72.95,
,,,
"this is expensive bc i used adafruit links, lowkey just buy off aliexpress",,,
"and also bc of the mini sparkle motion, but it is easier to just buy one rather than by an esp32 + mic + level shifter, etc",,,
and also bc leds...,,,
oops,,,